id,genericName,brandName,country,expiryDate,schedule,importerName,importerId,aliases
UUWyUoABFPy-ZFU4_nFH,Paracetamol Suppositories BP 500mg,,,,,,,
Z5Q4MYABo0STa_yTvM7f,Oral Penicillin,,,,,,,
YpQHMYABo0STa_yTOM70,"Furosemide oral solution USP 20mg/5ml, 150ml bottle",,,,,,,
YJQAMYABo0STa_yTz85Q,Potassium Citrate and Citric Acid Oral Solution USP,,,,,,,
X5QAMYABo0STa_yTos4h,Potassium Citrate Mixture BP 200ml bottle,,,,,,,
XpT9MIABo0STa_yTIc7M,Metronidazole Injection USP 500mg/100ml.,,,,,,,
XZT8MIABo0STa_yT_87M,Metronidazole intravenous infusion BP 500mg/100ml,,,,,,,
NUX7MIABFPy-ZFU4c3H7,"Lorazepam injection BP/USP, 4mg in 1ml",,,,,,,
W5TxMIABo0STa_yTtM4W,Alteplase (Recombinent Tissue type plasminogen activator) 20mg vial,,,,,,,"[""Alteplase 20mg vial""]"
WpTvMIABo0STa_yTP84i,BCG suspension for Intravesical chemotherapy 40mg / 1ml vial,,,,,,,
NJTtLoABo0STa_yTZc6I,"Cyclosporin Syrup USP, 100mg in 1ml, 50ml bottle",,,,,,,
M5TrLoABo0STa_yTYM6T,Betamethasone Sodium Phosphate 0.1% with Neomycin Sulphate 0.5%w/v drops for Eye,,,,,,,"[""Betamet +Neomy. Eye,Ear,NasalDrop. 5ml""]"
MkXkLoABFPy-ZFU4rHEq,"Aprotinin for Injection BP 10,000 KIU/ml, 50ml vial.",,,,,,,
MUXfLoABFPy-ZFU4QHEQ,Dimercaprol injection BP 100mg/2ml,,,,,,,
MEXZLoABFPy-ZFU49XGg,Levothyroxine Ttablet BP/Thyroxine Tablet BP 25microgram,,,,,,,"[""Thyroxine tablet 25mcg""]"
L5TWLoABo0STa_yTDs7a,Sodium Nitroprusside for Injection BP/USP 50mg,,,,,,,"[""Sodium nitroprusside Inj. 50mg""]"
L0XTLoABFPy-ZFU4bXFg,Linezolid Injection 2mg/ml in 300ml,,,,,,,
LkXOLoABFPy-ZFU4nnHE,Fluconazole Infusion BP 200mg in 100ml vial,,,,,,,
LJTLLoABo0STa_yTF85C,Dehydrated Alcohol(Ethanol)Injection USP 5ml ampoule,,,,,,,"[""Dehydrated ethanolInj.(96.8w/w) 5ml amp ""]"
LUXKLoABFPy-ZFU4dnHo,Pralidoxime Chloride for injection USP 1g in 20ml,,,,,,,"["" Pralidoxime chloride inj.1g/20ml""]"
K5TILoABo0STa_yTec5T,Dicobalt Edetate Injection 300mg 20ml Ampoule,,,,,,,"[""Dicobalt edetate inj.300mg/20ml ""]"
KpTHLoABo0STa_yTU86Y,Racemethionine tablets USP 500mg,,,,,,,"[""Methionine tablet 500mg""]"
KJTELoABo0STa_yTp84W,"Lidocaine topical aerosol USP, 10% w/v",,,,,,,"[""Lidocaine spray10% , 50mlbottle""]"
LEXCLoABFPy-ZFU4VXHW,"Pancuronium Injection BP, 4mg/2ml",,,,,,,
KUWGLoABFPy-ZFU43XET,"Estrogen vaginal cream 0.01%, 15g tube",,,,,,,
KEWGLoABFPy-ZFU4YnF1,Megestrol Tablets BP 40mg,,,,,,,
I5SFLoABo0STa_yT3c5R,Procarbazine Hydrochloride Capsule USP 50mg,,,,,,,
J0WFLoABFPy-ZFU4ZnHe,Vinblastin Sulphate for Injection BP 10mg,,,,,,,
JkWELoABFPy-ZFU4znFw,Vincristine Sulphate for Injection BP/USP,,,,,,,"[""Vincristine Sulfate USP 1mg""]"
IpSELoABo0STa_yTB86O,Melphalan injection 50mg powder with solvent,,,,,,,
IZSDLoABo0STa_yTo84T,Chlorambucil Tablet BP 2mg,,,,,,,
IJSDLoABo0STa_yTJM6y,Cetrimide BP (as powder),,,,,,,
JUWBLoABFPy-ZFU41nEn,Crotamitone Cream BP/USP/IP 10% w/w for topical use.,,,,,,,
H5SALoABo0STa_yT-s73,Silicone oil 10ml bottle,,,,,,,
JEWALoABFPy-ZFU4WXFt,Perflurodecalin 5ml vial,,,,,,,
HpR_LoABo0STa_yT4s6f,Acetazolamide Tablet BP 250mg,,,,,,,
I0V_LoABFPy-ZFU4QnGR,Iso-osmotic bowel cleansing preparation (Polyethylene glycol 58g-60g),,,,,,,
HZR-LoABo0STa_yT0M41,Tetracosactrin (Tetracosactide) Injection 250microgram/1ml,,,,,,,
G5R9LoABo0STa_yTIc4H,Meningococcal Polysaccharide Tetravalent vaccine,,,,,,,
GpR7LoABo0STa_yTI84s,"Total Parenteral Nutrition in 500ml-1,500ml multiple component in collapsible bag (central or peripheral)",,,,,,,
IkV6LoABFPy-ZFU4FnHV,Deferiprone Capsule 500mg,,,,,,,
GZR5LoABo0STa_yTic5J,Melatonin Tablet 3mg,,,,,,,
GJR4LoABo0STa_yT-86o,Disulfiram 250mg Tablet,,,,,,,
