No,Route No,Service,Route Grade,Daily Operation,Number of Turn,KM,Daily Running to KM,SC 50-60,40-49,30-39,20-29,Total Buses,Check Sum
1,1/3,Avissawella - pettah,A,18,87,42,6040.8,4,22,,,26,26
2,5/103/171,Diwulapitiya - battharamulla,B,3,12,,,3,,,,3,3
3,5/265,Handmulla-colombo,A,1,2,,,,,1,1,2,2
4,17/1,Meerigama-pandura,A,1,1,,,1,,,,1,1
5,17/1,Nittambuwa - panadura,A,2,4,60,240,3,,,,3,3
6,17/1,Nittambuwa - panadura,,,,60,,,,1,,1,1
7,24,Avitthawa - colombo,A,7,6,92.6,1111.2,5,3,,,8,8
8,24/2,Galathara - colombo,A,1,2,85,340,1,,,,1,1
9,24/4,Avitthawa - aluthgama,A,3,8,30.9,494.4,,4,,,4,4
10,100,Panadura - colombo,A,3,10,30.3,606,,,3,8,11,11
11,100,Panadura - colombo,A,86,263,30.3,49921.2,37,62,,,99,99
12,100,Moratuwa - pettah,A,37,193,22,8492,10,40,,,50,50
13,100,Moratuwa - pettah,A,1,5,22,220,,3,,,3,3
14,100/1,Varagama - pettah,A,3,3,39.2,235.2,2,1,,,3,3
15,100/2,Wadduwa - pettah,,1,2,34.8,139.2,1,1,,,2,2
16,101,Moratuwa - pettah,A,,,23,,,2,,,2,2
17,101,Moratuwa - pettah,A,61,345,23,16054,30,58,,,88,88
18,102/256,Kotahena-borupana,A,1,10,24,240,1,4,,,5,5
19,103,Borella - fort,A,18,204,5,2040,13,16,,,29,29
20,103,Narahenpita - fort,A,45,90,6.8,27540,19,31,,,50,50
21,104,Watthala - bambalapitiya,A,,,15,,,1,,,1,1
22,107,Elakanda - fort,A,19,152,13.5,2052,7,26,,,33,33
23,112,Maharagama - kotahena,A,17,3,18,108,3,28,2,,33,33
24,117,Rathmalana - nugegoda,A,17,131,11,2926,3,19,,,22,22
25,119,Dehiwala - maharagama,A,40,197,8,3032,3,47,,,50,50
26,119,Nugegoda - maharagama,A,23,96,5.5,2736,3,15,,,18,18
27,120,Kesbewa - pettah,A,1,18,20.5,738,1,,,6,7,7
28,120,Kesbewa - pettah,A,52,276,25.6,11316,36,34,,,70,70
29,120,Horana - pettah,A,27,131,40.7,17849,,,2,29,31,31
30,120,Horana - pettah,A,36,126,40.7,20480,29,22,,,51,51
31,121/1,Pirivena junction - wijerama,C,3,18,2,72,,,1,2,3,3
32,122,Avissawella - pettah,A,55,156,57,23640,11,53,,,64,64
33,122,Avissawella - pettah,A,2,4,57,456,,,,4,4,4
34,122,Avissawella - jayawardhananpura hospital,A,1,3,47,282,,1,,,1,1
35,122/400,Avissawella - aluthgama,A,1,2,67,268,2,,,,2,2
36,122/400,Avissawella - aluthgama,A,3,6,32,384,,4,,,4,4
37,124,Ihalabope - maharagama,A,21,84,28,4704,,28,,,28,28
38,125,Maharagama - padukka,A,5,20,26,1040,,5,,,5,5
39,125,Padukka - pettah,A,29,87,35,6090,6,41,,,47,47
40,125,Ingiriya - pettah,,1,2,51,204,,1,,,1,1
41,125,Ingiriya - pettah,A,8,20,51,2040,10,8,,,18,18
42,125/1,Maharagama - ingiriya,A,11,29,44.8,2593.4,,11,,,11,11
43,125/190,Bulathsinhala - pettah,,,,,,,,,,0,0
44,125/190/4 2,Thiniyawala - colombo,,1,1,127,254,1,,,,1,1
45,127,Moragahahena - piliyandala,A,14,85,19.2,3211.2,,18,,,18,18
46,127,Horana - gonapola,,,,8,,,1,,,1,1
47,128-Y,Yakahaluwa - pettah,A,1,3,37,222,,1,,,1,1
48,128,Kottawa - thalagala,A,27,108,15,3240,,16,14,,30,30
49,128-P,Kottawa - pinnakolawattha,A,1,4,17,136,,1,,,1,1
50,128-B,Bankanwattha - kottawa,A,1,4,15,120,,1,,,1,1
,,,,,,,,,,,,,
51,128/1,Maharagama - munamalewattha,A,2,8,16.5,264,1,7,,,8,8
52,128/4,Homagama - koswattha,,,,8,,,,,1,1,1
53,129,Kottawa - moragahahena,A,16,64,15,1920,1,19,,,20,20
54,129/1,Kottawa - halbarawa,A,1,4,15.5,124,,2,,,2,2
55,131,Wellampitiya - maharagama,A,,,16,,,5,,,5,5
56,131/138,Kottawa - wallampitiya,A,,,20,,,2,,,2,2
