Serial Number,Route No.,Origin,Destination,No of Busses (Normal),Operated Buses Per Day,Distance (Km),No of Trip Per Day (Both Side),Operated(KM) per day,Travel Time (hours)
1,1,COLOMBO,KANDY,98,75,115.2,150,17280,3:30
2,1 - 1,COLOMBO,KEGALLE,33,31,77.3,80,6184,2:20
3,1 - 1/245,KEGALLE,NEGOMBO,1,1,74.0,4,296.0,1:55
4,1 - 2,COLOMBO,MAWANELLA,12,12,90.0,48,4320.0,2:40
5,1 - 3,COLOMBO,WARAKAPOLA,2,2,56.2,4,224.8,1:50
6,1 - 4,COLOMBO,GALAPITAMADA,1,1,59.3,2,118.6,1:55
7,1/245,KANDY,NEGOMBO,17,16,108.5,32,3472.0,3:30
8,1/627,COLOMBO,NILDANDAHINNA,1,1,206.0,2,412.0,5:40
9,1/744,COLOMBO,PADIYAPELELLA,1,1,158.0,2,316.0,5:15
10,2,COLOMBO,MATARA,83,73,160.4,146,23418.4,4:45
11,2 - 1,COLOMBO,GALLE,64,60,116.4,120,13968.0,3:30
12,2 - 3,COLOMBO,AMBALANGODA,25,21,85.5,84,7182.0,2:45
13,2 - 4,COLOMBO,YATIYANA,1,1,176.3,2,352.6,5:15
14,2 - 9,COLOMBO,DEIYANDARA,1,1,197.0,2,394.0,6:00
15,2 -10,COLOMBO,DEIYANDARA,3,3,199.0,6,1194.0,6:10
16,2-12,KIRINDA,COLOMBO,1,1,188.0,2,376.0,5:30
17,2-13,MAWARALA,COLOMBO,1,1,198.0,2,396.0,6:00
18,2/ 17,GAMPAHA,MATARA,1,1,192.0,2,384.0,5:45
19,2/187,KATUNAYAKA,MATARA,1,1,190.2,2,380.4,5:30
20,2/366,COLOMBO,AKURASSA,1,1,164.5,2,329.0,4:45
21,2/368,COLOMBO,URUBOKKA,1,1,218.0,2,436.0,6:15
22,2/382,COLOMBO,AKURESSA,1,1,156.3,2,312.6,4:30
23,3 - 1,COLOMBO,EMBILIPITIYA,16,13,168.3,26,4375.8,4:25
