No,Route No.,Origin,Destination,No of Buses (Semi Luxury),Operated Buses Per Day,Distance (KM),No of Trip Per Day (Both Sides),Operated KM Per Day,Travel Time (hours)
1,2,COLOMBO,MATARA,12,12,160.2,24,3844.8,4:45
2,2/4-3,ANURADHAPURA,MATARA,3,3,376.0,4,1504,10:30
3,2/8,MATARA,MATALE,2,2,301.7,2,603.4,9:00
4,2/ 48,KADURUWELA,MATARA,2,2,382.4,2,764.8,10:40
5,3 - 1,COLOMBO,EMBILIPITIYA,1,1,165.8,2,331.6,4:25
6,3/15/87,HAMBANTOTA,JAFFNA,2,1,488.6,2,977.2,15:00
7,4,COLOMBO,MANNAR,13,12,330.0,24,7920,8:15
8,4 - 1,COLOMBO,TALAIMANNAR,2,2,361.5,2,723,9:00
9,4 - 3,COLOMBO,ANURADHAPURA,6,6,216.4,12,2596.8,5:30
10,4 - 3/842-1	,COLOMBO,PULMUDE,3,3,310.2,6,1861.2,7:50
11,4/844,COLOMBO,SRIPURA,2,2,308.2,4,1232.8,7:50
12,4/86,PUTTALAM,KALMUNAI,2,2,314.1,2,628.2,8:00
13,7,COLOMBO,KALPITIYA,1,1,171.0,2,342,4:35
14,10,KATARAGAMA,KANDY,2,2,280.0,2,560,8:00
15,13 - 2,COLOMBO,DAYAGAMA,1,1,163.7,2,327.4,5:00
16,14,KANDY,MONARAGALA,1,1,160.2,2,320.4,4:45
17,15 - 1 - 1,COLOMBO,ANURADHAPURA,19,17,222.3,34,7558.2,5:45
18,15 - 7,COLOMBO,VAVUNIYA,26,24,285.7,48,13714,7:00
19,15 -11,COLOMBO,JANAKAPURA,1,1,354.2,2,708.4,8:45
20,15/ 82,COLOMBO,MULATHIVU,1,1,328.0,2,656,8:30
21,15/ 87,COLOMBO,JAFFNA,6,6,429.0,6,2574,10:45
22,15/819,COLOMBO,NANDIKADAL,1,1,402.5,2,805,9:45
23,15-22/87/769,MORATUWA,KANKASANTURE,2,2,438.3,2,876.6,11:50
24,17,PANADURA,KANDY,8,8,147.3,16,2356.8,4:30
25,17/48,PANADURA,KADURUWELA,1,1,252.1,2,504.2,7:00
26,18 - 2,COLOMBO,HATTON,1,1,120.6,2,241.2,4:00
27,18/727,COLOMBO,UDAPUSSELLAWA,2,2,224.0,2,448,7:15
28,21,BADULLA,KANDY,13,13,121.0,26,3146,3:45
29,21 - 6,COLOMBO,BADULLA,1,1,236.1,2,472.2,6:35
30,21-1/245,KATUNAYAKA,BADULLA,1,1,249.0,2,498,6:30
31,21/ 910/ 1,KALMUNAI,COLOMBO,1,1,364.0,1,364,9:30
32,22- 8,COLOMBO,AMPARA,8,8,314.0,8,2512,8:50
33,22 - 9,COLOMBO,NINDAVUR,1,1,360.1,1,360.1,9:30
34,31 - 1,MATARA,NUWARAELIYA,2,2,251.3,4,1005.2,7:10
