Operational Data,2012,2013,2014,2015,2016,2017,2018,2019,2020
Fleet (Average),"7,756","7,607","7,026","8,046","7,781","6,264","7,125","7,012","7,118"
T.T.R (Average) (Time Table Requirement),"7,172","7,174","7,204","7,235","7,257","7,257","7,257","7,284","7,338"
Average Buses Made Available a Day,"4,694","4,720","4,946","6,073","6,054","6,010","5,970","5,854","5,641"
Average Buses Operated a Day,"4,314","4,373","4,596","5,284","5,314","5,266","5,227","5,079","3,971"
Average Scheduled Km Scheduled AVU kms,"607,985,610","603,004,455","599,203,345","1,671,349","1,696,614","1,686,975","1,687,452","1,682,087","1,702,058"
Operated kilometers,"337,830,439","343,691,735","371,236,274","440,402,613","450,549,430","448,133,415","446,287,644","431,304,307","306,394,827"
No. of Passengers,"914,651,962","895,274,430","924,206,654","767,484,939","451,783,798","1,005,205,383","989,580,757","916,964,004","600,511,846"
Passenger Km (Mn),"11,909","12,201","12,717","15,210","13,417","15,698","15,510","14,346,253,395","9,725"
No of Employees,"33,806","32,630","34,763","35,547","35,000","30,637","30,405","29,650","28,507"
Total Revenue (Rs.),"26,303,369,817","30,191,406,327","33,665,412,027","35,824,591,470","40,927,861,419","42,162,617,771","44,102,926,752","43,489,530,466","31,233,254,844"
Total Cost  (Rs.),"28,799,659,483","31,724,399,405","33,548,722,075","38,575,335,518","40,025,807,217","38,102,976,032","39,956,732,381","39,954,652,197","31,586,357,559"
Profit/Loss*(Rs.),"-2,496,289,666","-1,532,993,078","116,689,952","-2,750,744,048","-1,576,739,908","4,059,641,739","4,146,194,370","3,534,878,270","-353,102,715"
